obs1	obs2
-0.590786	-0.707265
-0.545542	0.163378
0.574255	0.193956
0.595137	0.147046
-2.07167	1.60761
-1.172	-1.00193
0.728259	0.720308
-0.0391754	-0.114635
-2.51715	-1.63735
-1.05454	-0.553002
0.52031	-1.49929
0.0504651	0.410702
1.58181	-0.690521
0.408296	1.55887
2.35358	-0.629142
3.40551	4.55022
1.26162	2.49798
-4.86028	-3.51218
-0.395018	0.0405957
-0.548152	0.685106
-5.64162	-5.96754
-1.2303	-0.404151
-0.52118	-0.965827
-2.11691	-2.7332
1.07977	-3.12675
-3.29761	1.34687
0.562944	0.232748
0.201859	0.175914
-0.0974493	4.79483
-0.31497	-0.788006
-4.16248	-1.86379
-1.41823	4.50418
3.11751	2.98783
0.985805	4.25686
1.06498	3.3126
3.14883	5.67491
5.26922	4.41679
4.46004	3.13668
2.41622	1.98671
1.8498	-3.59947
-2.8008	1.73388
1.55745	1.42716
0.690846	3.09155
1.2912	2.02914
0.410907	-0.641409
-0.705637	-0.193054
-0.342813	-1.19239
0.334982	-4.27787
-3.91102	-0.303288
-1.69927	-3.34417
-4.84375	-0.431463
-0.129643	0.165089
0.111371	0.214706
0.366305	-1.10122
0.446352	-0.801546
-1.3015	-1.50561
-1.25031	0.714481
1.01365	0.945424
-0.348903	-0.599355
-0.196639	0.0766808
-0.208936	-1.33063
-2.10734	-0.6833
0.152265	-0.120884
0.265375	0.282364
-0.628549	-0.337394
-1.03714	0.634192
-0.638125	-2.02436
-2.38316	0.357446
0.412419	-1.99845
-1.41301	-0.0396929
0.828319	1.10691
0.774374	-3.93867
-2.28658	0.184139
0.115721	0.710872
0.981454	0.580967
-0.336722	0.763635
0.655173	-0.829528
0.31497	-0.414977
-0.6282	-1.21606
-0.797866	0.107352
0.21143	1.09337
-0.304529	0.809205
0.543802	0.541586
1.06846	-0.0243712
-1.58964	-0.219342
0.178367	-0.438684
-3.09663	0.176917
0.761323	-1.71223
-2.13953	-2.53406
-6.06361	-0.449516
-3.77616	-4.64323
-0.810917	-1.99099
-5.92353	-0.135396
-0.817008	2.66009
0.0713468	0.64592
0.779595	1.97745
0.555113	0.986021
1.13981	0.750998
0.896185	-1.38927
-0.120941	0.404384
-1.46348	2.87507
-0.00783088	-0.106512
0.913588	-0.316827
0.803087	0.131785
-0.137549	-5.48897
0.354994	-0.228237
-4.94555	0.152459
0.0722171	0.56112
0.241013	-0.23365
0.482026	-0.0460086
-0.673444	-0.0496172
0.229702	0.300407
-0.594267	-0.101037
0.494207	-4.06189
-0.0600359	0.368279
-5.64945	-1.34042
0.273206	-0.180424
-3.58822	-0.923774
-0.409809	-0.0793865
-0.485506	0.805596
-0.636031	0.179626
-0.172276	-0.299677
0.555983	-0.17421
0.542932	0.0207603
-1.00147	-1.31078
-0.548152	0.083897
-0.677301	0.311412
-0.0461147	0.542488
-0.489857	-0.398065
-0.00957093	0.428754
0.160095	-4.94905
0.396758	-1.97836
-5.31969	0.089362
-3.10881	-0.362653
0.220131	0.193956
-0.822228	1.05097
0.00435062	0.253497
1.30425	0.301309
-0.279297	-0.599912
0.401979	0.91385
-0.0156704	-0.852095
0.0200117	-0.160578
0.915836	0.528948
0.978844	0.638703
0.331502	-0.0875559
0.650822	-0.882277
-0.470715	0.0369876
-0.996245	-0.555708
-0.438522	0.332173
-1.13111	-0.427606
0.194028	0.518116
-0.20708	0.330367
0.153134	0.0785299
-0.695196	0.959509
0.274076	-0.714481
-0.42199	-0.453127
-0.271466	-1.17975
-0.597747	0.203997
-0.479416	0.137123
0.268856	0.470908
0.479415	-0.343906
1.53309	0.330366
-0.562944	-0.0496457
0.598618	-0.435726
0.012181	0.148033
0.0983195	-0.455835
1.77497	0.32766
0.0626461	0.565957
-0.390667	0.0451321
0.868343	-0.441392
-0.670336	-0.221922
-0.987544	-0.431463
-0.531045	-0.229271
-0.177497	0.984216
-0.20534	-0.392423
0.906626	0.139909
-0.348903	0.547002
0.84572	0.25635
1.63837	-1.71953
-0.855291	0.189555
-2.12126	0.494364
-1.12241	-2.78846
0.647342	1.11476
-1.87938	4.82733
0.295828	-0.300407
3.7109	0.303113
-1.2068	1.09608
-0.0669965	-0.636363
0.343683	-0.116441
-0.132253	0.754608
0.42286	-0.571946
1.09021	4.59264
-1.20332	5.498
3.47424	3.36492
4.74804	0.846679
2.06645	0.084848
0.52379	-1.88562
0.837019	-0.654415
-0.294958	0.848484
-0.831799	-0.20851
-0.506388	-1.8766e-07
1.24161	-0.230943
0.716078	1.71863
0.739571	0.341199
0.0669968	1.30522
2.39099	0.588184
-0.368915	-3.65931
-0.559463	-0.10561
1.70971	-0.0920694
-2.75294	0.0361053
-1.57398	-0.801546
0.562074	-0.00631867
-0.193158	-2.00657
0.162706	0.150741
-0.865732	-1.19531
0.670834	-0.84036
-0.582085	-0.290483
-0.796126	-0.563827
0.467235	-1.16982
-1.11197	-0.0433264
-0.254934	0.282364
0.820487	0.41702
0.462884	0.50548
0.356733	0.809204
-0.387187	0.185041
0.460274	0.0135398
-0.334982	-0.22205
-0.875304	-0.0225526
0.122682	-0.131786
0.551633	0.110961
-0.447223	0.234688
0.486376	0.732946
0.803087	-0.0695037
0.565868	-0.708574
-0.614278	1.08407
0.400238	-1.4885
-0.131383	-0.0839454
-0.771764	0.99742
0.0426343	-0.0198579
0.398498	-0.176015
-0.193158	-0.409799
-0.709118	0.240867
0.145304	0.368969
-0.83789	-0.562925
0.763933	-0.177821
0.0704769	0.385429
-0.489857	0.00360805
-0.129642	-2.64023
-0.612538	0.0451321
-4.19815	-3.86602
-0.6282	-0.702256
-2.85735	-0.849386
-0.819618	0.353836
0.400238	0.164186
0.436781	-0.163379
0.995375	0.415879
0.780464	-0.557833
0.258415	0.0586376
0.247103	-0.163379
0.0295828	-0.161573
-0.194029	-0.207608
-0.201859	0.83266
-0.125292	0.405053
0.296698	1.86125
2.13692	6.36995
5.31969	5.32162
4.49398	3.95267
4.7785	7.18451
6.25764	6.60824
5.60159	-0.308704
2.04643	2.49076
1.36342	2.12482
1.7828	0.588523
0.307139	1.42716
1.0963	0.614699
0.369785	0.269891
0.700417	-0.46486
-0.711728	0.337588
0.604707	0.994712
0.386532	-0.744679
0.00609041	-0.130883
0.0156616	-0.454932
-0.10615	-0.245518
-0.499428	-2.29771
-0.244493	0.430561
-0.879654	0.0216629
-0.480553	-0.070406
0.114851	-0.0406192
-0.259285	0.354534
-0.272336	0.104707
-0.642991	-0.408897
0.0870081	-0.223855
-0.412419	0.259812
-0.510739	0.129906
-0.8405	-0.614699
0.503778	-0.437782
-0.159225	-0.608933
0.123552	0.0704058
-0.301049	-0.00180558
-0.0295828	-0.117344
0.233182	0.472712
-0.053945	-0.106512
-0.154875	0.352933
0.031323	0.14713
1.00669	0.797936
0.283647	-0.605325
-0.415029	-0.260863
-0.342813	-0.96888
0.040894	0.370084
-0.396758	0.615247
-0.636901	-0.0180423
-0.162706	0.183237
0.146174	0.0794325
-0.792646	-0.493746
0.262765	-0.359947
0.444613	-1.1617
0.227962	0.169697
1.22595	-1.10122
-0.697807	0.0370085
0.494207	0.48833
0.556853	-0.0162474
-0.0887483	0.431463
0.379356	4.30922
-0.117461	-0.477498
-0.955351	-0.0126367
3.15057	0.180528
0.0556853	0.221922
0.234923	-0.687418
-0.557723	-5.29941
